row_id,item_text,provider,exact_rule_truth,ml_prediction_with_rule_bypassed,top1,margin,correct_where_exact_truth_exists
11979,VENTA DE VACAS,ANTILLANCA SPA,ING-0.2,ING-0.2,0.924746,0.85541,True
11980,VENTA DE VACAS,ANTILLANCA SPA,ING-0.2,ING-0.2,0.979217,0.961872,True
11981,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.998042,0.996998,True
11982,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.998068,0.997044,True
11983,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.998184,0.99723,True
11984,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.997936,0.996843,True
11985,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.998033,0.996979,True
11986,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.998073,0.997053,True
11987,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.998176,0.997213,True
11988,VENTA CAMIONETA,ANTILLANCA SPA,,ING-0.4,0.458153,0.071209,
11989,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.998035,0.996996,True
11990,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.998085,0.997075,True
11991,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.997413,0.996038,True
11992,VENTA DE TERNERAS,ANTILLANCA SPA,ING-0.4,ING-0.3,0.544898,0.120857,False
11993,VENTA DE VAQUILLAS,ANTILLANCA SPA,ING-0.3,ING-0.3,0.932258,0.885972,True
11994,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.998131,0.997135,True
11995,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.998077,0.997053,True
11996,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.998068,0.997044,True
11997,VENTA DE VACAS,ANTILLANCA SPA,ING-0.2,ING-0.2,0.973994,0.951857,True
11998,VENTA DE VACAS,ANTILLANCA SPA,ING-0.2,ING-0.2,0.98511,0.972989,True
11999,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.997969,0.996864,True
12000,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.998052,0.997018,True
12001,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.99818,0.997238,True
12002,VENTA DE ACTIVO FIJO,ANTILLANCA SPA,,ING-0.3,0.774655,0.616996,
12003,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.99803,0.99696,True
12004,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.998073,0.997036,True
12005,VENTA DE VACAS,ANTILLANCA SPA,ING-0.2,ING-0.2,0.97617,0.955645,True
12006,VENTA DE VAQUILLAS,ANTILLANCA SPA,ING-0.3,ING-0.3,0.937393,0.900212,True
12007,VENTA DE VACAS,ANTILLANCA SPA,ING-0.2,ING-0.2,0.984762,0.972318,True
12008,VENTA DE VACAS,ANTILLANCA SPA,ING-0.2,ING-0.2,0.971557,0.947608,True
12009,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.954703,0.914522,True
12010,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.93419,0.874245,True
12011,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.93419,0.874245,True
12012,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.952127,0.909917,True
12013,VENTA DE ACTIVO FIJO,ANTILLANCA SPA,,ING-0.3,0.420236,0.149364,
12014,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.95433,0.913973,True
12015,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.956329,0.917648,True
12016,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.99802,0.996967,True
