rows,reason,prediction,prediction_name,direction,normalized_item,example_item,example_description,example_provider,mean_top1
424,low_confidence,EXP-11.4,Bencina,COMPRAS,gasolina 93,GASOLINA 93,,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,0.6741
81,generic_item_name_requires_review,EXP-13.1,Mantencion Maquinaria,COMPRAS,item,Item,Servicios de Mantención~SERVICIO DE MANTENIMIENTO PREVENTIVO 1BM6115JCRD601743,SALINAS Y FABRES S.A.,0.5759
78,low_confidence,EXP-7.0,AGROQUIMICOS,COMPRAS,control de roedores,CONTROL DE ROEDORES,"PROGRAMA DE CONTROL DE ROEDORES AL PREDIO RAICES, VISITAS REALIZADAS 7/01/2025 HT6415; 21/01/2025 HT6440.",H2 ASESORIAS Y SERVICIOS SPA,0.6487
68,low_confidence,ADM-1.4,Movilizacion,COMPRAS,93 s p,93 S/P,,ESTACIONES DE SERVICIO PAOLA USLAR MOLINA E.I.R.L.,0.5577
60,weak_class,EXP-5.1,Concentrado Vacas,COMPRAS,biolact antillanca granel,BIOLACT ANTILLANCA GRANEL,,AGROCOMERCIAL IANSA S.A.,0.7387
55,low_confidence,EXP-14.2,Mantencion Cercos,COMPRAS,g93,G93,G93,COMERCIAL Y SERVICIOS FUTRONO LIMITADA,0.5205
50,low_confidence,ADM-1.4,Movilizacion,COMPRAS,detalle,DETALLE,GASOLINA NU 1203| 94.146|L,COPEC S.A.,0.6862
34,weak_class,EXP-6.3,Cal,COMPRAS,cal sur iansa a granel,CAL SUR IANSA A GRANEL,,IANSAGRO S.A.,0.6665
23,low_confidence,EXP-11.4,Bencina,COMPRAS,gasolina 93 octanos sin plomo,Gasolina 93 octanos sin plomo,IE Base: 404.5740 - IE Variable: -37.2478,INVERSIONES ENEX S.A.,0.7439
23,low_confidence,EXP-13.3,Mantencion Vehiculos,COMPRAS,marca modelo patente stock km veh fec recep hr fa no orden,Marca Modelo Patente Stock Km.Veh. Fec Recep. Hr.Fa No. Orden,AUTO@Marca Modelo Patente Stock Km.Veh. Fec Recep. Hr.Fa No. Orden,DIFOR CHILE S.A.,0.6512
