gold_sha256,seed,split,gold_id,category_code,text,text_sha256
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,excluded_lt2,SA-00035,ADM-1.9,[COMPRAS] | Representacion Casub RBM | AWÜA CONSULTORES SPA,2f3a05572d2fbe3eca60dbbab9b93fa076e44a1451e59dcc4a005f7b3df04e90
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,excluded_lt2,SA-00902,ADM-2.3,[COMPRAS] | DEVOLUCION DE PRIMA CUOTA 9 | REALE CHILE SEGUROS GENERALES S.A.,de9263d26b9050bde3ca19e028d54de6f9bf6efe34ffa8cebe6a50d3de63d938
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,RG-00541,ADM-1.10,[COMPRAS] | CONSULTORIA EN GESTION DE PERSONAS | SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPA,2a670d85ef5143648a41dedaa8b533f18c8c49de98a6a4c972d5977c49f74022
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,SA-00015,ADM-1.10,[COMPRAS] | RECURSOS HUMANOS | CONSULTORIA EN GESTIÓN DE PERSONAS MAYO | SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,e98b41f428a1b802294ad16f2bd07f9c2fd1569322d338e3c5bd3e7818fc1393
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,SA-00016,ADM-1.10,[COMPRAS] | PREVENCION DE RIESGOS | CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL OCTUBRE | SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,d897574bf6a024ccafc396dde384bd1f213d7e7a99fc5dca9363e38f89b74510
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,SA-00030,ADM-1.10,[COMPRAS] | RECURSOS HUMANOS | CONSULTORIA EN GESTIÓN DE PERSONAS ABRIL | SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,65998d860381c87eb10e5aa7bf707bb2b80788f324992df5a9b13ba6984e829c
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,SA-00088,ADM-1.10,[COMPRAS] | RECURSOS HUMANOS | CONSULTORIA EN GESTIÓN DE PERSONAS DICIEMBRE | SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,70d5944d637de581cab9601c91a2fdc24a7e1fb4d718a3a6317d05fc19f8beea
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,SA-00096,ADM-1.10,[COMPRAS] | RECURSOS HUMANOS | CONSULTORIA EN GESTIÓN DE PERSONAS AGOSTO | SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,d2a45dfdd053b2b3cf84482ba16dd7cef00acc9b91438cf97c6ceaa3e1fabdb8
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,SA-00123,ADM-1.10,[COMPRAS] | RECURSOS HUMANOS | CONSULTORIA EN GESTIÓN DE PERSONAS JULIO | SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,3c1f7ee018ae9edc1c08e3a80c8ae4f65f730fbbec5a33f26ede724656a4f38c
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,SA-00124,ADM-1.10,[COMPRAS] | RECURSOS HUMANOS | CONSULTORIA EN GESTIÓN DE PERSONAS MARZO | SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,917c86fb8a8fa33a09c4b2e6763661ac29b2376bd3163829a995d2db08e58b0b
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,SA-00165,ADM-1.10,[COMPRAS] | RECURSOS HUMANOS | CONSULTORIA EN GESTIÓN DE PERSONAS ENERO | SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,2ab783e78244f58cfc55cc1d7c0a70f52ee86121253a8eec22c1bd064ac176f1
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,SA-00200,ADM-1.10,[COMPRAS] | RECURSOS HUMANOS | CONSULTORIA EN GESTIÓN DE PERSONAS FEBRERO | SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,9310d929998c936f5f5ffda37d67eefbcf29feb94b66d4e9b1b7c6632707bb83
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,SA-00205,ADM-1.10,[COMPRAS] | PREVENCION DE RIESGOS | CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL JUNIO | SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,caf082d6ccb4dab7e219417be5108392690578478805f1cdafce6dce6da0ebc6
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,SA-00232,ADM-1.10,[COMPRAS] | RECURSOS HUMANOS | CONSULTORIA EN GESTIÓN DE PERSONAS JUNIO | SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,3d3b1cea0e0dbd8ce11aaf0b9354f11fcbbab9cf7cc18e229000273f23c2fb9a
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,SA-00688,ADM-1.10,"[COMPRAS] | Serv. Tcnico | Servicio de habilitacin, configuracin y preparacin de equipos computacionales asociados a los usuarios Javier Muoz y Pilar Lobos. Incluye mano de obra, instalacin de software y repuestos utilizados. | SERVICIOS Y SOLUCIONES LINKEDTIC SPA",820b51da93d496501eae321dbf6a33e75ff78f33721649ec7eb51f2eeb3a7ee7
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,MA-00081,ADM-1.2,"[COMPRAS] | Servicios de internet | Rural Titán 15Mbps/10Mbps, MES DE FEBRERO DE 2025 | NETSKY SPA",9a909cb1b45322b15d3e30d72626dd58514fa2c5b61d828ffcdbd13a88654319
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,MA-00434,ADM-1.2,[COMPRAS] | Programación Principal | DIRECTV Chile TelevisiÃ³n Limitada,70fa6858057d5ac4176fad689c2ee820ebdc7d5ee708353f7d7343dca62eca56
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,MA-00435,ADM-1.2,[COMPRAS] | Decodificadores Adicionales | DIRECTV Chile TelevisiÃ³n Limitada,b0cbd2c099eb15d6857bda1cba68f830e068a797f7132cf3476d02f4bb016b63
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,MA-00436,ADM-1.2,[COMPRAS] | Otros Cargos | DIRECTV Chile TelevisiÃ³n Limitada,c067020ce3e05ebe517a50aee2bc53e80b6c5e13de1ac33977e2bedd2fc0b916
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,MA-03040,ADM-1.2,"[COMPRAS] | Servicios de internet | Rural Titán 15Mbps/10Mbps, MES DE JUNIO DE 2025 | NETSKY SPA",b95b01543e15a57ba29a9fbabdd94b94591b9cae8c965eac0a808a064ab1a984
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,MA-03937,ADM-1.2,"[COMPRAS] | Servicios de internet | Rural Titán 15Mbps/10Mbps, MES DE JULIO DE 2025 | NETSKY SPA",7e44f4d800d95a07fea2e6d23b948a561f4e39276239790a85ac602c48c4a78f
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,MA-04615,ADM-1.2,"[COMPRAS] | Servicios de internet | Rural Titán 15Mbps/10Mbps, MES DE AGOSTO DE 2025 | NETSKY SPA",ccf89c28154b8bfa370e4fbb2350d928dbe9669ae6d4edcaf3cd527b4624e207
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,MA-05275,ADM-1.2,[COMPRAS] | Programación Premiums | DIRECTV Chile TelevisiÃ³n Limitada,37a31bb4cda5ce8363adbf8022e8549d1c253754bb4a728b4c2d49234249219a
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,MA-07666,ADM-1.2,"[COMPRAS] | Servicios de internet | Rural Titán 15Mbps/10Mbps, MES DE OCTUBRE DE 2025 | NETSKY SPA",1dbf78bbb9c7e261b3fe093069b02d6c30b7bc63d05f03306fab46575fcdec44
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,RG-00529,ADM-1.2,[COMPRAS] | KIT INSTALACION 0 VISION 100 | VERISURE CHILE SPA,3494243cecaadb0783251a9f11739858508b83a96f8c79d3dab5e0e881469a53
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,RG-00589,ADM-1.2,[COMPRAS] | RESIDENTIAL | STARLINK CHILE SPA,02aa792717a56aa45a4726f72a580fbede362ecc8bf4f06143d7a1754a3394a2
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,RG-00615,ADM-1.2,"[COMPRAS] | SERVICIOS DE INTERNET RURAL TITAN 15Mnbps/10Mbps,MES DE NOVIEMBRE 2025 | NETSKY SPA",1d4945ecc0b78ab5478c4abaa302eb5f8a8e51203097a777ae2d44a219e72dae
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,RG-01022,ADM-1.2,"[COMPRAS] | Servicios de internet | Rural TitÃ¡n 15Mbps/10Mbps, MES DE NOVIEMBRE DE 2025 | NETSKY SPA",a4de66d6366a583dd117bf5cf44e43477bed4601884f3bd99ad30e1f6242541c
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,SA-00656,ADM-1.2,[COMPRAS] | Programacin Principal | DIRECTV Chile Televisión Limitada,98341983b0d7d7363657eaf1923617ad176d58b72c4938213e1f61675455d087
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,SA-00657,ADM-1.2,[COMPRAS] | Programacin Premiums | DIRECTV Chile Televisión Limitada,181de45233f0376399d93644b41fcb77be87488314410c0e9cd3a1abb6cf583e
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,SA-00658,ADM-1.2,[COMPRAS] | Decodificadores Adicionales | DIRECTV Chile Televisión Limitada,26d0fe9a55686e560a17ca7f34eb0ecf9288e4fd3bee27be20e9f4b387ce096e
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,SA-00661,ADM-1.2,[COMPRAS] | Comunicaciones e Internet - ANTILLANCA SPA | ANTILLANCA SPA,d71fb9e66a7ce7c9a6e584d830334d0ad9fd3527d9de539647ba2bf98627782b
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,SA-00663,ADM-1.2,[COMPRAS] | Cargo Fijo BAM | Telefnica Mviles Chile S.A.,48f17cfa12652a0de54ef26e5ede5a14a4f48bc1ac44fdf3f8d684a66dd28a02
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,MA-00083,ADM-1.3,[COMPRAS] | Arriendo enero 25 | ADDVISE SPA,9000c12ca9abdfd87a0997f4d0ff2fbf0e6cebea560b612d974dca7bb4b0d553
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,MA-00803,ADM-1.3,[COMPRAS] | Arriendo febrero 25 | ADDVISE SPA,620cfc0e8b5d9fc829db79f25b618a9b2ca4d10ad1a01aeeabe612ae3643693e
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,MA-01520,ADM-1.3,[COMPRAS] | Arriendo marzo 25 | ADDVISE SPA,0f57f80ef116ff40af9c90471889f2e7994ae2424be131bd330258479d48c5ff
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,MA-02139,ADM-1.3,[COMPRAS] | Arriendo abril 25 | ADDVISE SPA,2a4e6eccaba68c323fb3cbe28de08c398ae5b28f34652613e8a8b16e6d3e3a54
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,MA-03043,ADM-1.3,[COMPRAS] | Arriendo mayo 25 | ADDVISE SPA,430db522cb8c844e6ac575a42018e6a5330482d559d68a0b0ea6bdfb90de2730
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,MA-03939,ADM-1.3,[COMPRAS] | Arriendo junio 25 | ADDVISE SPA,a72e860a23348a8a4b99b57b9724915bdb5f16d77ff3379727153aa82c76ce74
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,MA-04618,ADM-1.3,[COMPRAS] | Arriendo julio 25 | ADDVISE SPA,fc5dde356dd87f64094f3dc97ec4037f2a10750ad41d761112b91daa15068680
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,MA-06767,ADM-1.3,[COMPRAS] | Arriendo Septiembre 25 | ADDVISE SPA,694ab77f17fff7c97e41c8d75cda3e1ed818d9ef4fbbf5e997ffe9cc42f685f1
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,MA-08641,ADM-1.3,[COMPRAS] | Arriendo Noviembre 25 | ADDVISE SPA,0bda2f7373a28a3e2c4a40febc78f731eeef3bddc4b17fdeab9b80ffc7897768
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,MA-09606,ADM-1.3,[COMPRAS] | Arriendo Diciembre 25 | ADDVISE SPA,2922e9dc6037a37efbaca49b1ffa15cf7f190f99c1476fe8a0d425eea9bb4470
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,MA-10594,ADM-1.3,[COMPRAS] | Arriendo Enero 26 | ADDVISE SPA,2edd763ac39a2fff22b11bb43c442715a361f1304ea26075757af1933ce7bc4c
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,RG-00560,ADM-1.3,[COMPRAS] | ARRIENDO OCTUBRE 25 | ADDVISE SPA,f6f26b29c3104f79965a7900d65830b4ff8f9b31d59f920d1206403538473a26
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,SA-00685,ADM-1.3,[COMPRAS] | Arriendo junio 26 | ADDVISE SPA,fd8d80ab78e9593ddbfffac94bd097b468591060bd5681703e7d6fa89415f145
ef9b4afcf55a100c4b6b02841f915ab15e9d5d8f535ac05d38e946b5726a652d,42,train,MA-00723,ADM-1.4,[COMPRAS] | Vuelo Tasas y/o impuestos | Vuelo Tasas y/o impuestos | LATAM AIRLINES GROUP SA,912e98b5441780ea873dc935a3c12a533a8a53b8cc233ae92caf1b62527b0591
