gold_id,truth,prediction,model_prediction,gold_source,source,decision,reason,correct,model_prediction_correct,top1,margin,direction,item_text,description,provider,lookup_conflict,top3,model_text,guard_reason,counterfactual_model_decision,counterfactual_model_reason
SA-00655,ADM-1.4,ADM-1.4,ADM-1.4,file_audit,model,review_required,low_confidence,True,True,0.5421785712242126,0.3634539544582367,COMPRAS,Movilizacion - ESTACIONES DE SERVICIO PAOLA USLAR MOLINA E.I.R.L,,ESTACIONES DE SERVICIO PAOLA USLAR MOLINA E.I.R.L,False,ADM-1.4;EXP-10.1;ADM-2.2,[COMPRAS] | Movilizacion - ESTACIONES DE SERVICIO PAOLA USLAR MOLINA E.I.R.L | ESTACIONES DE SERVICIO PAOLA USLAR MOLINA E.I.R.L,,review_required,low_confidence
SA-00649,ADM-1.5,ADM-1.5,ADM-1.5,file_audit,model,review_required,low_confidence,True,True,0.42106205224990845,0.282322958111763,COMPRAS,Habitaciones ( 1),,TALBOT HOTELS S A,False,ADM-1.5;EXP-1.1;EXP-14.4,[COMPRAS] | Habitaciones ( 1) | TALBOT HOTELS S A,,review_required,low_confidence
SA-00668,ADM-1.6,ADM-1.6,ADM-1.6,file_audit,model,review_required,low_confidence,True,True,0.528873085975647,0.43015024065971375,COMPRAS,CLORO TRADICIONAL CLORINDA 4 LT,2.0 x 1 UN $4450 Bruto/$3739.5 Neto,RENDIC HERMANOS S.A.,False,ADM-1.6;EXP-13.1;EXP-7.0,[COMPRAS] | CLORO TRADICIONAL CLORINDA 4 LT | 2.0 x 1 UN $4450 Bruto/$3739.5 Neto | RENDIC HERMANOS S.A.,,review_required,low_confidence
SA-00670,ADM-1.6,ADM-1.6,ADM-1.6,file_audit,model,review_required,low_confidence,True,True,0.7073740363121033,0.6703485250473022,COMPRAS,"LIMP MULT CR C MICROP CIF 750GR, LIMON",3.0 x 1 UN $3090 Bruto/$2596.6667 Neto,RENDIC HERMANOS S.A.,False,ADM-1.6;EXP-1.1;EXP-9.2,"[COMPRAS] | LIMP MULT CR C MICROP CIF 750GR, LIMON | 3.0 x 1 UN $3090 Bruto/$2596.6667 Neto | RENDIC HERMANOS S.A.",,review_required,low_confidence
SA-00006,ADM-1.7,ADM-1.7,ADM-1.7,silver_audit,model,review_required,low_confidence,True,True,0.3708049952983856,0.20161649584770203,COMPRAS,COMISION MENSUAL ADMINISTRACION CONVENIO]REMUNERACIONES,COMISION MENSUAL ADMINISTRACION CONVENIO]REMUNERACIONES ]NUMERO DE OPERACION 02600554401 .,Banco de Chile,False,ADM-1.7;ADM-1.5;EXP-15.1,[COMPRAS] | COMISION MENSUAL ADMINISTRACION CONVENIO]REMUNERACIONES | COMISION MENSUAL ADMINISTRACION CONVENIO]REMUNERACIONES ]NUMERO DE OPERACION 02600554401 . | Banco de Chile,,review_required,low_confidence
SA-00475,EXP-10.1,EXP-10.1,EXP-10.1,file_audit,model,review_required,low_confidence,True,True,0.5732453465461731,0.4512474834918976,COMPRAS,EMERGENCIA EQUIPOS DE REFRIGERACION,,SOCIEDAD COMERCIAL SERLAC CHILE S.A.,False,EXP-10.1;ADM-1.6;EXP-1.1,[COMPRAS] | EMERGENCIA EQUIPOS DE REFRIGERACION | SOCIEDAD COMERCIAL SERLAC CHILE S.A.,,review_required,low_confidence
SA-00821,EXP-10.1,EXP-10.1,EXP-10.1,silver_audit,model,review_required,low_confidence,True,True,0.5461745262145996,0.2779083549976349,COMPRAS,DISTRIBUIDOR DE AIRE DEL COLECTOR,,GEA Farm Technologies Osorno Ltda.,False,EXP-10.1;EXP-10.4;EXP-10.3,[COMPRAS] | DISTRIBUIDOR DE AIRE DEL COLECTOR | GEA Farm Technologies Osorno Ltda.,,review_required,low_confidence
SA-00458,EXP-10.4,EXP-10.4,EXP-10.4,file_audit,model,review_required,weak_class,True,True,0.5231788754463196,0.25858718156814575,COMPRAS,PARTE INFERIOR COLECTOR USADA,,GEA Farm Technologies Osorno Ltda.,False,EXP-10.4;EXP-10.1;EXP-10.2,[COMPRAS] | PARTE INFERIOR COLECTOR USADA | GEA Farm Technologies Osorno Ltda.,,review_required,weak_class
SA-00636,EXP-11.1,EXP-11.1,EXP-11.1,file_audit,model,review_required,electricity_requires_exact_meter_or_lookup,True,True,0.6471624374389648,0.38899630308151245,COMPRAS,Electricidad Lecheria - NTILLANCA S.A.,,NTILLANCA S.A.,False,EXP-11.1;EXP-9.1;EXP-11.2,[COMPRAS] | Electricidad Lecheria - NTILLANCA S.A. | NTILLANCA S.A.,electricity_requires_exact_meter_or_lookup,review_required,electricity_requires_exact_meter_or_lookup
SA-00977,EXP-11.4,EXP-11.4,EXP-11.4,silver_audit,model,review_required,low_confidence,True,True,0.5210511684417725,0.1537463366985321,COMPRAS,Aramco Gasolina 93,"Aramco Gasolina 93@@Fecha 12/12/2025 Base 6.00 UTM/m3; 417,252; Variable 1 UTM/m3; 35,119",Esmax Distribucion SpA,False,EXP-11.4;ADM-1.4;EXP-11.5,"[COMPRAS] | Aramco Gasolina 93 | Aramco Gasolina 93@@Fecha 12/12/2025 Base 6.00 UTM/m3; 417,252; Variable 1 UTM/m3; 35,119 | Esmax Distribucion SpA",,review_required,low_confidence
